Location,CompIndex,CompBenchmark,CompYoYChange,SFDetachIndex,SFDetachBenchmark,SFDetachYoYChange,SFAttachIndex,SFAttachBenchmark,SFAttachYoYChange,THouseIndex,THouseBenchmark,THouseYoYChange,ApartIndex,ApartBenchmark,ApartYoYChange,Date
,,,,,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,,,,,2021-04-01
,,,1.0,,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,,,,,2021-04-01
,,,,,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,,,,,2021-05-01
,,,1.0,,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,,,,,2021-05-01
,,,,,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,,,,,2021-06-01
,,,1.0,,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,,,,,2021-06-01
,,,,,,,,,,,,,,,,2021-07-01
,,,,,,,,,,,,,,,,2021-07-01
,,,,,,,,,,,,,,,,2021-07-01
,,,1.0,,,,,,,,,,,,,2021-07-01
,,,,,,,,,,,,,,,,2021-07-01
,,,,,,,,,,,,,,,,2021-07-01
,,,,,,,,,,,,,,,,2021-07-01
,,,,,,,,,,,,,,,,2021-07-01
,,,,,,,,,,,,,,,,2021-07-01
,,,,,,,,,,,,,,,,2021-07-01
